page,page_title,active_visitors
ceac.state.gov/genniv/general/esign/signtheapplication.aspx?node=signcertify,Nonimmigrant Visa - E-Signature and Certification,16
ceac.state.gov/ivapp/common/sessiontimedout.aspx,Consular Electronic Application Center - Session Timed Out,16
ceac.state.gov/ivapp/ivapp/complete/complete_personal.aspx?node=personal1,Application for Immigrant Visa and Alien Registration - Personal Information 1,16
consumer.ftc.gov/articles/0108-national-do-not-call-registry,National Do Not Call Registry | Consumer Information,16
e-verify.uscis.gov/emp/verify.aspx,E-Verify - Initial Verification - List B & C Documents,16
eauth.va.gov/wssweb/wss-common-webparts/mvc/viewchapter33educationinfo,Chapter 33,16
faq.ssa.gov/ics/support/kbanswer.asp?deptid=34019&task=knowledge&questionid=3708,Selected Topic,16
fec.gov/finance/disclosure/norindsea.shtml,Search Campaign Finance Data by Individual Contributor,16
fmcsa.dot.gov/,Federal Motor Carrier Safety Administration,16
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 38.94°N and Longitude 119.99°W (Elev. 6293 ft),16
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 46.73°N and Longitude 116.99°W (Elev. 2598 ft),16
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 46.93°N and Longitude 121.49°W (Elev. 5233 ft),16
hrsa.gov/loanscholarships/repayment/nursing/applicationchecklist.html,NURSE Corps Loan Repayment Application Checklist,16
irs.gov/individuals/tax-return-transcript-types-and-ways-to-order-them,Transcript Types and Ways to Order Them,16
irs.gov/tax-professionals/standard-mileage-rates,Standard Mileage Rates,16
irs.gov/uac/latest-news,Latest News,16
justice.gov/usao-edny/pr/former-hedge-fund-manager-and-new-york-attorney-indicted-multimillion-dollar-fraud,Former Hedge Fund Manager And New York Attorney Indicted In Multimillion Dollar Fraud Scheme | USAO-EDNY | Department of Justice,16
ncdc.noaa.gov/sotc/summary-info/global/201511,Summary Information | National Centers for Environmental Information (NCEI),16
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a689006-es.html,Fluoxetina: MedlinePlus medicinas,16
nlm.nih.gov/medlineplus/spanish/ency/article/000252.htm,Gastroenteritis viral: MedlinePlus enciclopedia médica,16
nps.gov/alca/planyourvisit/fees.htm,Fees & Passes - Alcatraz Island (U.S. National Park Service),16
nps.gov/media/video/view.htm?id=8d20604a-1dd8-b71b-0b93d1af52853f04,"P-23's Kitten [Video] (U.S. National Park Service)",16
nsf.gov/discoveries/disc_summ.jsp?cntn_id=137188&wt.mc_id=usnsf_51&wt.mc_ev=click,Making mobile health effective and secure | NSF - National Science Foundation,16
nsopw.gov/en-us/search/verification,Verification,16
portal.fmcsa.dot.gov/ursregistrationwizard/,Unified Registration System,16
portal.hud.gov/hudportal/hud?src=/topics/housing_choice_voucher_program_section_8,Housing Choice Voucher Program Section 8,16
socialsecurity.gov/ar/,Appointed Representative Services,16
spc.noaa.gov/m/,Storm Prediction Center,16
spotthestation.nasa.gov/,NASA - Spot The Station,16
ssa.gov/ar/,Appointed Representative Services,16
travel.state.gov/content/visas/en/forms/ds-160--online-nonimmigrant-visa-application.html,DS-160: Online Nonimmigrant Visa Application,16
uscis.gov/i-864p,Poverty Guidelines | USCIS,16
uscis.gov/uscis-elis/log-online-filing,Log in to Online Filing | USCIS,16
usitc.gov/tata/hts/index.htm,Official Harmonized Tariff Schedule 2015 | USITC,16
weather.gov/mhx/,"Newport/Morehead, NC",16
access.trade.gov/public/searchresults.aspx?btn=qs,ACCESS,15
ada.gov/regs2010/2010adastandards/2010adastandards.htm,2010 ADA Standards for Accessible Design,15
archives.gov/federal-register/electoral-college/about.html,"U. S. Electoral College, Official - What is the Electoral College?",15
astronauts.nasa.gov/,Astronauts,15
bls.gov/data/,"Databases, Tables & Calculators by Subject",15
bls.gov/data/inflation_calculator.htm,Inflation Calculator: Bureau of Labor Statistics,15
catalog.usmint.gov/on/demandware.store/sites-usm-site/default/cart-show,The United States Mint Cart,15
cdc.gov/co/faqs.htm,CDC - Carbon Monoxide Poisoning - Frequently Asked Questions,15
cdc.gov/meningitis/bacterial.html,Meningitis | About Bacterial Meningitis Infection | CDC,15
cdc.gov/norovirus/about/transmission.html,Norovirus | Transmission | CDC,15
cdc.gov/std/spanish/sifilis/stdfact-syphilis-s.htm,Sífilis - Enfermedades de transmisión sexual,15
cdc.gov/vaccines/hcp/vis/vis-statements/flu.html,Vaccine Information Statement | Inactivated Influenza | VIS | CDC,15
ceac.state.gov/ctrac/invoice/signon.aspx,Sign In Page,15
ceac.state.gov/genniv/general/complete/complete_securityandbackground2.aspx?node=securityandbackground2,Nonimmigrant Visa - Security and Background: Part 2,15
ceac.state.gov/genniv/general/review/review_reviewworkeducation.aspx?node=reviewworkeducation,Nonimmigrant Visa - Review Work / Education Information,15
consumer.ftc.gov/blog/getting-calls-your-own-number,Getting calls from your own number? | Consumer Information,15
consumer.ftc.gov/features/feature-0014-identity-theft,Identity Theft | Consumer Information,15
consumerfinance.gov/budget/civil-penalty-fund/,Civil Penalty Fund > Consumer Financial Protection Bureau,15
cpars.gov/,Contractor Performance Assessment Reporting System,15
earthquake.usgs.gov/earthquakes/map/,"7 Days, Magnitude 2.5+ Worldwide",15
eauth.va.gov/ebenefits/apply,Apply for Benefits - eBenefits,15
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 38.85°N and Longitude 104.76°W (Elev. 6237 ft),15
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 40.57°N and Longitude 111.67°W (Elev. 9298 ft),15
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 43.07°N and Longitude 87.97°W (Elev. 715 ft),15
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 43.07°N and Longitude 89.4°W (Elev. 879 ft),15
ftccomplaintassistant.gov/,- FTC Complaint Assistant,15
irs.gov/individuals/get-transcript-faqs,Get Transcript FAQs,15
irs.gov/publications/p501/ar02.html,"Publication 501 (2014), Exemptions, Standard Deduction, and Filing Information",15
irs.gov/uac/contact-my-local-office-in-texas,Contact My Local Office in Texas,15
nasa.gov/feature/the-application-awakens-7-reasons-you-should-apply-to-beanastronaut/,7 Reasons You Should Apply to #BeAnAstronaut | NASA,15
nasa.gov/launchschedule/,NASA Launch Schedule,15
"ncdc.noaa.gov/stormevents/listevents.jsp?eventtype=(c)+flash+flood&begindate_mm=01&begindate_dd=01&begindate_yyyy=1985&enddate_mm=12&enddate_dd=17&enddate_yyyy=2015&county=clark:3&hailfilter=0.00&tornfilter=0&windfilter=000&sort=dt&submitbutton=search&statefips=32,nevada",Storm Events Database - Search Results | National Climatic Data Center,15
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a688016-es.html,Ciprofloxacina: MedlinePlus medicinas,15
nlm.nih.gov/medlineplus/spanish/ency/article/000156.htm,Trombosis venosa profunda: MedlinePlus enciclopedia médica,15
nlm.nih.gov/medlineplus/spanish/ency/article/000680.htm,Meningitis: MedlinePlus enciclopedia médica,15
nlm.nih.gov/medlineplus/spanish/ency/article/000889.htm,Cáncer ovárico: MedlinePlus enciclopedia médica,15
nlm.nih.gov/medlineplus/spanish/ency/article/001511.htm,Candidosis vaginal: MedlinePlus enciclopedia médica,15
nlm.nih.gov/medlineplus/spanish/sexuallytransmitteddiseases.html,Enfermedades de transmisión sexual: MedlinePlus en español,15
nsf.gov/,NSF - National Science Foundation,15
rd.usda.gov/programs-services/single-family-housing-guaranteed-loan-program,Single Family Housing Guaranteed Loan Program | USDA Rural Development,15
sm.myhealth.va.gov/mhv-sm-web/sendmessage.action,My HealtheVet - Secure Messaging - Inbox,15
socialsecurity.gov/oact/population/longevity.html,Retirement & Survivors Benefits: Life Expectancy Calculator,15
ssa.gov/planners/retire/1943.html,Full Retirement Age: If You Were Born Between 1943 And 1954,15
studentaid.ed.gov/sa/repay-loans/understand/servicers,Loan Servicers | Federal Student Aid,15
travel.state.gov/content/passports/en/passports/lost-stolen.html,Lost or Stolen Passports,15
travel.state.gov/content/visas/en/study-exchange/student.html,Student Visa,15
treasurydirect.gov/indiv/research/indepth/ebonds/res_e_bonds_eeredeem.htm,Individual - Redeeming (Cashing) EE and E Savings Bonds,15
usahire.opm.gov/do/g2allpurpose1,USA Hire,15
va.gov/opa/persona/index.asp,I am Veteran - US Department of Veterans Affairs,15
weather.gov/grr/,"Grand Rapids, MI",15
wrh.noaa.gov/satellite/?wfo=boi,"National Weather Service - Boise, ID",15
www3.epa.gov/,US Environmental Protection Agency,15
apps.irs.gov/app/withholdingcalculator/,2015 Withholding Calculator,14
benefits.va.gov/compensation/,Compensation Home,14
benefits.va.gov/compensation/rates-index.asp,Benefit Rates - Compensation,14
benefits.va.gov/gibill/resources/benefits_resources/rates/ch33/ch33rates080115.asp,"Post-9/11 GI Bill (Chapter 33) Payment Rates for 2015 Academic Year (August 1, 2015 - July 31, 2016) - Education and Training",14
bop.gov/,BOP: Federal Bureau of Prisons Web Site,14
cdc.gov/flu/about/season/flu-season-2015-2016.htm,What You Should Know for the 2015-2016 Influenza Season | Seasonal Influenza (Flu) | CDC,14
cdc.gov/hand-foot-mouth/about/signs-symptoms.html,Hand Foot and Mouth Disease | Signs and Symptoms | HFMD | CDC,14
cdc.gov/vaccines/schedules/hcp/child-adolescent.html,Birth-18 Years and Catchup Immunization Schedules for Providers | CDC,14
ceac.state.gov/genniv/general/complete/complete_family2.aspx?node=spouse,Nonimmigrant Visa - Family Information: Spouse,14
ceac.state.gov/genniv/general/complete/complete_securityandbackground3.aspx?node=securityandbackground3,Nonimmigrant Visa - Security and Background: Part 3,14
ceac.state.gov/ivapp/ivapp/complete/complete_workeducation1.aspx?node=workeducation1,Immigrant Visa - Present Work/Education/Training Information,14
census.gov/geo/partnerships/bas/bas_ar_form.html,Boundary and Annexation Survey Contact Update / Annual Response Form - Geography - U.S. Census Bureau,14
climate.nasa.gov/effects/,Climate Change: Vital Signs of the Planet: Effects,14
cpars.cpars.gov/cpars/app/evaluation_refresh.action,CPARS/FAPIIS,14
cpars.cpars.gov/cpars/app/usermainmenu_input.action,CPARS/FAPIIS,14
eauth.va.gov/ebenefits/claims,Claims Status - eBenefits,14
ebenefits.va.gov/ebenefits/about/feature?feature=compensation-pension-claim-status,About This Feature - eBenefits,14
faq.ssa.gov/ics/support/kbanswer.asp?questionid=3709&hitoffset=30+19&docid=1914,How can I get a Social Security Statement that shows a record of my earnings and an estimate of my future benefits?,14
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 40.75°N and Longitude 111.9°W (Elev. 4285 ft),14
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 42.89°N and Longitude 78.87°W (Elev. 604 ft),14
gsaauctions.gov/gsaauctions/aucbystate/,"GSA Auctions, General Services Administration, Government Site for Auctions",14
irs.gov/businesses/small-businesses-&-self-employed/frequently-asked-questions-on-gift-taxes,Frequently Asked Questions on Gift Taxes,14
irs.gov/businesses/small-businesses-&-self-employed/limited-liability-company-llc,Limited Liability Company (LLC),14
irs.gov/credits-&-deductions/individuals/earned-income-tax-credit/eitc-income-limits-maximum-credit-amounts-next-year,"2016 EITC Income Limits, Maximum Credit Amounts and Tax Law Updates",14
irs.gov/publications/p15/ar02.html,"Publication 15 (2015), (Circular E), Employer's Tax Guide",14
irs.gov/publications/p590b/ch01.html,"Publication 590-B (2014), Distributions from Individual Retirement Arrangements (IRAs)",14
irs.gov/publications/p590b/index.html,"Publication 590-B (2014), Distributions from Individual Retirement Arrangements (IRAs)",14
irs.gov/retirement-plans/retirement-plans-faqs-regarding-required-minimum-distributions,Retirement Plan and IRA Required Minimum Distributions FAQs,14
irs.gov/uac/newsroom/scam-phone-calls-continue,Scam Phone Calls Continue; IRS Identifies Five Easy Ways to Spot Suspicious Calls,14
irs.gov/uac/where-to-file-addresses-for--taxpayers-and--tax-professionals-filing-form-1040,Where to File Addresses for Taxpayers and Tax Professionals Filing Form 1040,14
jpl.nasa.gov/,"NASA Jet Propulsion Laboratory (JPL) - Space Mission and Science News, Videos and Images",14
my.usajobs.gov/applicant/document/listdocuments,My Account - Saved Documents,14
my.usajobs.gov/search/advancedsearch,Advanced Search,14
myhealth.va.gov/mhv-portal-web/mhv.portal?_nfpb=true&_pagelabel=appointments,My HealtheVet,14
myhealth.va.gov/mhv-portal-web/mhv.portal?_nfpb=true&_windowlabel=downloaddata&downloaddata_actionoverride=/gov/va/med/mhv/usermgmt/downloadyourdata/downloadreport&_pagelabel=downloaddata,My HealtheVet,14
nasa.gov/press-release/study-shows-climate-change-rapidly-warming-world-s-lakes/,Study Shows Climate Change Rapidly Warming World’s Lakes | NASA,14
nasajobs.nasa.gov/default.htm,NASAJobs,14
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a685017-es.html,Dicloxacilina: MedlinePlus medicinas,14
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a685024-es.html,Amoxicilina y Ácido Clavulánico: MedlinePlus medicinas,14
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a697037-es.html,Azitromicina: MedlinePlus medicinas,14
nlm.nih.gov/medlineplus/spanish/ency/article/000647.htm,Sinusitis: MedlinePlus enciclopedia médica,14
nlm.nih.gov/medlineplus/spanish/ency/article/001150.htm,Gastritis: MedlinePlus enciclopedia médica,14
nlm.nih.gov/medlineplus/spanish/ency/article/001592.htm,Varicela: MedlinePlus enciclopedia médica,14
nlm.nih.gov/medlineplus/spanish/ency/article/003059.htm,Úlceras bucales: MedlinePlus enciclopedia médica,14
nps.gov/index.htm,National Park Service,14
nps.gov/yell/learn/photosmultimedia/webcams.htm,Webcams - Yellowstone National Park (U.S. National Park Service),14
nsopw.gov/?aspxautodetectcookiesupport=1,United States Department of Justice National Sex Offender Public Website,14
opm.gov/about-us/contact-us/,Contact Us,14
opm.gov/cybersecurity/faqs/,FAQs,14
sm.myhealth.va.gov/mhv-sm-web/leftnav.action,My HealtheVet - Secure Messaging - Inbox,14
socialsecurity.gov/hlp/myssa/hlp-phone.htm,MySSA: Why We Ask For Your Phone Number,14
spotthestation.nasa.gov/sightings/view.cfm?country=united_kingdom&region=england&city=manchester,NASA-SpotTheStation,14
ssa.gov/oact/babynames/,Popular Baby Names,14
ssa.gov/planners/maxtax.html,Benefits Planner: Maximum Taxable Earnings (1937 - 2015),14
step.state.gov/step/,Smart Traveler Enrollment Program,14
studentaid.ed.gov/sa/glossary,Glossary | Federal Student Aid,14
travel.state.gov/content/visas/en/immigrate/immigrant-process/approved/contact.html,Begin National Visa Center (NVC) Processing,14
travel.state.gov/content/visas/en/immigrate/immigrant-process/documents/supporting_documents.html,Collect Supporting Documents,14
treasury.gov/about/organizational-structure/offices/pages/office-of-foreign-assets-control.aspx,Office of Foreign Assets Control (OFAC),14
treasurydirect.gov/,TreasuryDirect - Home,14
tsa.gov/tsa-precheck/faq,TSA Pre✓® FAQ | Transportation Security Administration,14
usa.gov/government-jobs,Find a Federal Government Job | USA.gov,14
uscis.gov/i-9-central/acceptable-documents/list-documents/form-i-9-acceptable-documents,Form I-9 Acceptable Documents | USCIS,14
uscis.gov/i-912,Request for Fee Waiver | USCIS,14
usitc.gov/,USITC | United States International Trade Commission,14
weather.gov/buf/lespolygon,Lake Effect Snow Polygon Display,14
weather.gov/buf/stormtotalsnow,Storm Total Snow Forecast,14
weather.gov/dmx/,"Des Moines, IA",14
weather.gov/iln/,"Wilmington, OH",14
weather.gov/lsx/,"St. Louis, MO",14
weather.gov/oax/,"Omaha/Valley, NE",14
whitehouse.gov/live/president-obama-speaks-national-counterterrorism-center,President Obama Speaks at the National Counterterrorism Center | whitehouse.gov,14
wrh.noaa.gov/fgz/,National Weather Service - NWS Flagstaff,14
wrh.noaa.gov/twc/,National Weather Service - NWS Tucson,14
arh.noaa.gov/,"National Weather Service, Alaska Region Headquarters, AK",13
caweb.sba.gov/clcs/dsp_search.cfm?sysabbrvtcd=clc,SBA - CLCS - Search,13
cdc.gov/features/handfootmouthdisease/,"Hand, Foot & Mouth Disease | Features | CDC",13
cdc.gov/vaccines/schedules/easy-to-read/child.html,Immunization Schedules for Children in Easy-to-read Formats | CDC,13
ceac.state.gov/ivapp/ivapp/esign/signtheapplication.aspx?node=signcertify,Immigrant Visa - Sign and Submit,13
choosemyplate.gov/protein-foods,All about the Protein Foods Group | Choose MyPlate,13
consumerfinance.gov/newsroom/cfpb-takes-action-against-bad-check-debt-collector/,"CFPB Takes Action Against \""Bad Check\"" Debt Collector > Newsroom > Consumer Financial Protection Bureau",13
eauth.va.gov/ebenefits/homepage,Home - eBenefits,13
eauth.va.gov/wssweb/wss-common-webparts/mvc/benefitcustomizationformvet,Benefit Summary - Download VA Letters,13
ebenefits.va.gov/ebenefits/about/feature?feature=disability-compensation,About This Feature - eBenefits,13
ebuy.gsa.gov/advantage/ebuy/seller/active_rfqs.do,GSA Advantage! eBuy Active RFQs,13
faq.ssa.gov/link/portal/34011/34019/article/3754/what-is-the-eligibility-for-social-security-spouse-s-benefits-and-my-own-retirement-benefits,What is the eligibility for Social Security spouse’s benefits and my own retirement benefits?,13
fda.gov/newsevents/newsroom/pressannouncements/ucm477734.htm,"Press Announcements > FDA approves Basaglar, the first “follow-on” insulin glargine product to treat diabetes",13
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 40.43°N and Longitude 79.98°W (Elev. 814 ft),13
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 44.95°N and Longitude 93.1°W (Elev. 810 ft),13
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 46.29°N and Longitude 119.28°W (Elev. 361 ft),13
hhs.gov/ohrp/humansubjects/guidance/belmont.html,The Belmont Report | HHS.gov,13
ic3.gov/complaint/default.aspx,Internet Crime Complaint Center (IC3) | File a Complaint,13
irs.gov/affordable-care-act/questions-and-answers-on-information-reporting-by-health-coverage-providers-section-6055,Questions and Answers on Information Reporting by Health Coverage Providers (Section 6055),13
irs.gov/credits-&-deductions,Credits & Deductions,13
irs.gov/individuals/employees/tax-withholding,Tax Withholding,13
irs.gov/publications/p502/ar02.html,"Publication 502 (2014), Medical and Dental Expenses",13
irs.gov/taxtopics/tc751.html,Tax Topics - Topic 751 Social Security and Medicare Withholding Rates,13
irs.gov/uac/eftps-the-electronic-federal-tax-payment-system,EFTPS: The Electronic Federal Tax Payment System,13
irs.gov/uac/free-file:-do-your-federal-taxes-for-free,Free File: Do Your Federal Taxes for Free,13
irs.gov/uac/tax-benefits-for-education:-information-center,Tax Benefits for Education: Information Center,13
myhealth.va.gov/mhv-portal-web/mhv.portal?_nfpb=true&_nfto=false&_pagelabel=pharmacyhome,My HealtheVet,13
myhealth.va.gov/mhv-portal-web/mhv.portal?_nfpb=true&_pagelabel=refillprescriptions&_windowlabel=activeprescription&activeprescription_actionoverride=/gov/va/med/mhv/rxrefill/portlet/resetviewlistaction&activeprescriptionpagenum=2,My HealtheVet,13
nasa.gov/feature/jpl/mars-spacecraft-shipped-to-california-for-march-launch/,Mars Spacecraft Shipped to California for March Launch | NASA,13
nasa.gov/press-release/media-invited-to-view-launch-of-new-ocean-monitoring-satellite/,Media Invited to View Launch of New Ocean Monitoring Satellite | NASA,13
nhtsa.gov/,Home | National Highway Traffic Safety Administration (NHTSA),13
niddk.nih.gov/health-information/health-topics/anatomy/your-digestive-system/pages/anatomy.aspx,Your Digestive System and How It Works | National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),13
nlm.nih.gov/medlineplus/ency/article/003482.htm,Blood sugar test - blood: MedlinePlus Medical Encyclopedia,13
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a605045-es.html,Pregabalina: MedlinePlus medicinas,13
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a685001-es.html,Amoxicilina: MedlinePlus medicinas,13
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a696005-es.html,Metformina: MedlinePlus medicinas,13
nlm.nih.gov/medlineplus/spanish/ency/article/000255.htm,Cirrosis: MedlinePlus enciclopedia médica,13
nlm.nih.gov/medlineplus/spanish/ency/article/000468.htm,Hipertensión arterial: MedlinePlus enciclopedia médica,13
nlm.nih.gov/medlineplus/spanish/ency/article/000684.htm,Síndrome de Guillain-Barré: MedlinePlus enciclopedia médica,13
nlm.nih.gov/medlineplus/spanish/ency/article/001982.htm,Temperatura corporal normal: MedlinePlus enciclopedia médica,13
nlm.nih.gov/medlineplus/spanish/ency/article/003139.htm,Color anormal de la orina: MedlinePlus enciclopedia médica,13
nlm.nih.gov/medlineplus/spanish/ency/article/003160.htm,Dolor en el testículo: MedlinePlus enciclopedia médica,13
nlm.nih.gov/medlineplus/spanish/ency/article/003356.htm,Proteína C reactiva: MedlinePlus enciclopedia médica,13
nlm.nih.gov/medlineplus/spanish/ency/article/003482.htm,Examen de glucemia: MedlinePlus enciclopedia médica,13
nlm.nih.gov/medlineplus/spanish/highbloodpressure.html,Presión arterial alta: MedlinePlus en español,13
nps.gov/glac/learn/photosmultimedia/webcams.htm,Glacier National Park Webcams - Glacier National Park (U.S. National Park Service),13
nps.gov/grca/index.htm,Grand Canyon National Park (U.S. National Park Service),13
osha.gov/pls/imis/sic_manual.html,SIC Division Structure,13
petitions.whitehouse.gov/petition/stop-assault-weapons-ban-2015-proposed-congressman-david-cicilline,"Stop the ""Assault Weapons Ban of 2015"" proposed by Congressman David Cicilline. | We the People: Your Voice in Our Government",13
public-prod-elis2.uscis.dhs.gov/efile/app/app/iv/#!/,USCIS,13
rd.usda.gov/publications/regulations-guidelines/handbooks,Handbooks | USDA Rural Development,13
sam.gov/https://www.sam.gov/portal/sam/?portal:componentid=e76c26b5-7d95-49c5-822a-d1909ed297e1&interactionstate=jbpns_ro0abxcwabbfannmqnjpzgdlvmlld0lkaaaaaqapl2pzzi9mb290zxiuannwaadfx0vprl9f&portal:type=action,System for Award Management,13
sba.gov/,U.S. Small Business Administration | The U.S. Small Business Administration | SBA.gov,13
secure.rrb.gov/,United States Railroad Retirement Board Home Page,13
socialsecurity.gov/accessibility/,Accessibility Help,13
ssa.gov/disabilityssi/ssi.html,Supplemental Security Income (SSI) Benefits,13
ssa.gov/employer/,Employer W-2 Filing Instructions & Information,13
ssa.gov/medicare/,Medicare Benefits,13
ssa.gov/news/press/factsheets/colafacts2015.html,Social Security Press Office: 2015 Social Security Changes,13
ssa.gov/planners/lifeexpectancy.html,Calculators: Life Expectancy,13
studentaid.ed.gov/sa/about,About Us | Federal Student Aid,13
studentaid.ed.gov/sa/resources/loan-grant-fact-sheets,Loan and Grant Fact Sheets | Federal Student Aid,13
travel.state.gov/content/visas/en/immigrate/immigrant-process/interview/prepare.html,Prepare for the Interview,13
treasury.gov/auctions/irs/cat_auto2.htm,IRS Auction - Category Page,13
treasury.gov/resource-center/data-chart-center/interest-rates/pages/textview.aspx?data=yieldyear&year=2015,Daily Treasury Yield Curve Rates,13
tsa.gov/contact/contact-center,Contact Center | Transportation Security Administration,13
usajobs.gov/getjob/viewdetails/424104300,USAJOBS - Search Jobs,13
uscis.gov/fees,Filing Fees | USCIS,13
uscis.gov/i-129,Petition for a Nonimmigrant Worker | USCIS,13
uscis.gov/i-129f,Petition for Alien Fiancé(e) | USCIS,13
uscis.gov/i-693,Report of Medical Examination and Vaccination Record | USCIS,13
uscis.gov/news,News | USCIS,13
va.gov/health/,Veterans Health Administration,13
va.gov/landing2_contact.htm,Contact Us,13
weather.gov/ctp/,"State College, PA",13
weather.gov/fsd/,"Sioux Falls, SD",13
weather.gov/mqt/,"Marquette, MI",13
wrh.noaa.gov/satellite/?wfo=pdt,National Weather Service - NWS Pendleton,13
www3.epa.gov/recyclecity/dumptown.htm,Dumptown | Recycle City | U.S. EPA,13
ai.fmcsa.dot.gov/sms/,Safety Measurement System,12
apps.irs.gov/app/scripts/exit.jsp?dest=http://www.voltaxprep.com/,IRS Disclaimer,12
apps.irs.gov/app/scripts/exit.jsp?dest=https://www.linklearncertification.com/d/,IRS Disclaimer,12
apps.irs.gov/app/scripts/exit.jsp?dest=https://www.valuetaxpayment.com/,IRS Disclaimer,12
archives.gov/,National Archives and Records Administration,12
archives.gov/news/federal-holidays.html,2015 Federal Holidays,12
benefits.va.gov/gibill/apply.asp,Apply for Benefits - Education and Training,12
bis.doc.gov/,BIS Website,12
cdc.gov/hand-foot-mouth/about/transmission.html,Hand Foot and Mouth Disease | Causes and Transmission | HFMD | CDC,12
cdc.gov/mmwr/preview/mmwrhtml/mm6449a3.htm?s_cid=mm6449a3_e,"Notes from the Field: Injection Safety and Vaccine Administration Errors at an Employee Influenza Vaccination Clinic — New Jersey, 2015",12
cdc.gov/nchs/fastats/deaths.htm,FastStats - Deaths and Mortality,12
cdc.gov/shingles/about/transmission.html,Shingles | Transmission - How Spreads | Herpes Zoster | CDC,12
ceac.state.gov/genniv/common/email.aspx,Nonimmigrant - Email,12
ceac.state.gov/ivapp/ivapp/complete/complete_family2.aspx?node=spouse,Immigrant Visa - Family Information: Spouse,12
ceac.state.gov/ivapp/ivapp/complete/complete_family4.aspx?node=children,Immigrant Visa - Family Information: Children,12
choosemyplate.gov/tools-portion-distortion,Portion Distortion | Choose MyPlate,12
consumer.ftc.gov/blog/my-very-own-irs-imposter-call,My very own IRS imposter call | Consumer Information,12
dhs.gov/how-do-i/check-immigration-case-status,Check Immigration Case Status | Homeland Security,12
dhs.gov/real-id-public-faqs,Real ID Public FAQs | Homeland Security,12
disability.gov/,"Disability.gov - Welcome to Disability.gov, the federal government website that provides quick access to national and local resources for people with disabilities, their families, friends and organizations that serve them.",12
dol.gov/dol/topic/workhours/breaks.htm,U.S. Department of Labor - Find It By Topic - Work Hours - Breaks and Meal Periods,12
dol.gov/whd/overtime_pay.htm,Overtime Pay - Wage and Hour Division (WHD) - U.S. Department of Labor,12
dol.gov/whd/regs/compliance/1421.htm,The Family and Medical Leave Act - Wage and Hour Division (WHD) - U.S. Department of Labor,12
dsbs.sba.gov/dsbs/search/dsp_dsbs.cfm,SBA - Dynamic Small Business Search,12
eauth.va.gov/wssweb/wss-common-webparts/mvc/ebn/historicalclaimsummary,Historical Claims - Claim Status,12
ed.gov/essa,Every Student Succeeds Act (ESSA) | U.S. Department of Education,12
faq.ssa.gov/link/portal/34011/34019/article/3747/how-long-does-it-take-to-get-my-baby-s-social-security-card-that-i-applied-for-in-the-hospital,How long does it take to get my baby s Social Security card that I applied for in the hospital?,12
fda.gov/biologicsbloodvaccines/safetyavailability/shortages/ucm351921.htm?source=govdelivery,CBER-Regulated Products: Shortages and Discontinuations > CBER-Regulated Products: Current Shortages,12
foodsafety.gov/blog/meatinrefrig.html,Meat in the Refrigerator: How Long Does It Last? | FoodSafety.gov,12
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 41.26°N and Longitude 96.02°W (Elev. 1155 ft),12
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 46.87°N and Longitude 114°W (Elev. 3201 ft),12
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 47.66°N and Longitude 117.43°W (Elev. 1844 ft),12
fpds.gov/ezsearch/search.do?indexname=awardfull&templatename=1.4.4&s=fpdsng.com,FPDS-NG ezSearch,12
ftccomplaintassistant.gov/nextsteps,Next Steps - FTC Complaint Assistant,12
goes.noaa.gov/wcir4.html,"Western U.S. Infrared, Enhancement 4 - NOAA GOES Geostationary Satellite Server",12
gsa.gov/portal/category/26429,Travel Resources,12
gsa.gov/portal/content/105088,Comprehensive Human Resources Integrated System (CHRIS),12
hhs.gov/ocr/privacy/,Health Information Privacy,12
hhs.gov/ocr/privacy/hipaa/understanding/summary/index.html,Summary of the HIPAA Privacy Rule,12
iris.custhelp.com/app/answers/detail/a_id/1703,Toll Free Numbers for Contacting VA,12
irs.gov/affordable-care-act/employers/information-reporting-by-providers-of-minimum-essential-coverage,Information Reporting by Providers of Minimum Essential Coverage,12
